wavelength,RSR_Rrs_412,RSR_Rrs_445,RSR_Rrs_488,RSR_Rrs_555,RSR_Rrs_672,RSR_Rrs_746,RSR_Rrs_865
714,,,,,,0.001265,
715,,,,,,0.0013528,
716,,,,,,0.0014736,
717,,,,,,0.00158,
718,,,,,,0.001719,
719,,,,,,0.0018643,
720,,,,,,0.0020835,
721,,,,,,0.0023026,
722,,,,,,0.0025218,
723,,,,,,0.0027526,
724,,,,,,0.0031224,
725,,,,,,0.0035633,
726,,,,,,0.0041474,
727,,,,,,0.0048877,
728,,,,,,0.0057537,
729,,,,,,0.0074916,
730,,,,,,0.0096359,
731,,,,,,0.0128535,
732,,,,,,0.0181779,
733,,,,,,0.027084,
734,,,,,,0.0428325,
735,,,,,,0.0722387,
736,,,,,,0.1275772,
737,,,,,,0.2311478,
738,,,,,,0.4062278,
739,,,,,,0.6404982,
740,,,,,,0.8566682,
741,,,,,,0.975052,
742,,,,,,0.9998839,
743,,,,,,0.9894025,
744,,,,,,0.9771379,
745,,,,,,0.9734698,
746,,,,,,0.9736227,
747,,,,,,0.978291,
748,,,,,,0.9769896,
749,,,,,,0.9594041,
750,,,,,,0.8956289,
751,,,,,,0.7611069,
752,,,,,,0.5665455,
753,,,,,,0.3703814,
754,,,,,,0.21981,
755,,,,,,0.127318,
756,,,,,,0.0745818,
757,,,,,,0.0452213,
758,,,,,,0.0280426,
759,,,,,,0.0180718,
760,,,,,,0.0121536,
761,,,,,,0.0084725,
762,,,,,,0.0060276,
763,,,,,,0.0044179,
764,,,,,,0.0033117,
765,,,,,,0.0025329,
766,,,,,,0.0019896,
767,,,,,,0.0015888,
768,,,,,,0.0012992,
769,,,,,,0.0010747,
770,,,,,,0.0009118,
771,,,,,,0.0007867,
772,,,,,,0.0006905,
773,,,,,,0.0006149,
774,,,,,,0.0005556,
775,,,,,,0.0005102,
776,,,,,,0.00047,
777,,,,,,0.0004378,
778,,,,,,0.0004158,
779,,,,,,0.0003968,
780,,,,,,0.0003821,
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,,,,,,,
785,,,,,,,
786,,,,,,,
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,,,,,,,
794,,,,,,,
795,,,,,,,
796,,,,,,,
797,,,,,,,
798,,,,,,,
799,,,,,,,
800,,,,,,,0.0006832
801,,,,,,,0.0007138
802,,,,,,,0.0007363
803,,,,,,,0.0007688
804,,,,,,,0.0007915
805,,,,,,,0.0008202
806,,,,,,,0.0008593
807,,,,,,,0.0009058
808,,,,,,,0.0009548
809,,,,,,,0.0010007
810,,,,,,,0.0010642
811,,,,,,,0.0011409
812,,,,,,,0.0011972
813,,,,,,,0.0013079
814,,,,,,,0.0014022
815,,,,,,,0.0015229
816,,,,,,,0.0016482
817,,,,,,,0.001789
818,,,,,,,0.0019574
819,,,,,,,0.002148
820,,,,,,,0.0023713
821,,,,,,,0.0026455
822,,,,,,,0.002972
823,,,,,,,0.0033601
824,,,,,,,0.0038605
825,,,,,,,0.0044683
826,,,,,,,0.0053041
827,,,,,,,0.0063366
828,,,,,,,0.0076877
829,,,,,,,0.0094181
830,,,,,,,0.0117222
831,,,,,,,0.0147905
832,,,,,,,0.0190394
833,,,,,,,0.0247541
834,,,,,,,0.0328728
835,,,,,,,0.0440024
836,,,,,,,0.0595916
837,,,,,,,0.0822081
838,,,,,,,0.1140682
839,,,,,,,0.1590658
840,,,,,,,0.2210155
841,,,,,,,0.3036917
842,,,,,,,0.4062836
843,,,,,,,0.5278336
844,,,,,,,0.6528873
845,,,,,,,0.7680742
846,,,,,,,0.8596532
847,,,,,,,0.9231411
848,,,,,,,0.9577783
849,,,,,,,0.9772613
850,,,,,,,0.9985409
851,,,,,,,0.9989982
852,,,,,,,0.9958637
853,,,,,,,0.9919654
854,,,,,,,0.9879576
855,,,,,,,0.9844188
856,,,,,,,0.9803628
857,,,,,,,0.9769666
858,,,,,,,0.973005
859,,,,,,,0.9693806
860,,,,,,,0.9658431
861,,,,,,,0.9628811
862,,,,,,,0.960528
863,,,,,,,0.9592704
864,,,,,,,0.9593164
865,,,,,,,0.9602463
866,,,,,,,0.9631518
867,,,,,,,0.9654303
868,,,,,,,0.9695266
869,,,,,,,0.9736208
870,,,,,,,0.9767077
871,,,,,,,0.9808314
872,,,,,,,0.9809578
873,,,,,,,0.9753414
874,,,,,,,0.9616436
875,,,,,,,0.9333649
876,,,,,,,0.8880826
877,,,,,,,0.8269135
878,,,,,,,0.7521602
879,,,,,,,0.6673693
880,,,,,,,0.5764303
881,,,,,,,0.4826709
882,,,,,,,0.3951611
883,,,,,,,0.3169109
884,,,,,,,0.2500354
885,,,,,,,0.1950991
886,,,,,,,0.1512509
887,,,,,,,0.1166614
888,,,,,,,0.0909671
889,,,,,,,0.0708057
890,,,,,,,0.0553013
891,,,,,,,0.0437947
892,,,,,,,0.0348324
893,,,,,,,0.0274632
894,,,,,,,0.0220459
895,,,,,,,0.0178354
896,,,,,,,0.014483
897,,,,,,,0.0119026
898,,,,,,,0.0098431
899,,,,,,,0.0080772
900,,,,,,,0.0067383
901,,,,,,,0.0056073
902,,,,,,,0.0047445
903,,,,,,,0.0040161
904,,,,,,,0.0034151
905,,,,,,,0.0029553
906,,,,,,,0.0025618
907,,,,,,,0.0022306
908,,,,,,,0.0019454
909,,,,,,,0.0017191
910,,,,,,,0.0015221
911,,,,,,,0.0013576
912,,,,,,,0.001218
913,,,,,,,0.0010917
914,,,,,,,0.0009922
915,,,,,,,0.0009089
916,,,,,,,0.000831
917,,,,,,,0.0007644
918,,,,,,,0.0007038
919,,,,,,,0.0006537
920,,,,,,,0.0006119
921,,,,,,,0.0005971
922,,,,,,,0.0005518
923,,,,,,,0.0005097
924,,,,,,,0.0004723
925,,,,,,,0.0004728
926,,,,,,,0.0004258
927,,,,,,,0.0004077
928,,,,,,,0.0003964
929,,,,,,,0.0003751
930,,,,,,,0.0003658
931,,,,,,,0.0003544
932,,,,,,,0.0003315
933,,,,,,,0.0003205
934,,,,,,,0.0003127
935,,,,,,,0.000307
936,,,,,,,0.0002997
937,,,,,,,0.0002931
938,,,,,,,0.0002866
939,,,,,,,0.0002838
940,,,,,,,
941,,,,,,,
942,,,,,,,
943,,,,,,,
944,,,,,,,
945,,,,,,,
946,,,,,,,
947,,,,,,,
948,,,,,,,
949,,,,,,,
950,,,,,,,
951,,,,,,,
952,,,,,,,
953,,,,,,,
954,,,,,,,
955,,,,,,,
956,,,,,,,
957,,,,,,,
958,,,,,,,
959,,,,,,,
960,,,,,,,
961,,,,,,,
962,,,,,,,
963,,,,,,,
964,,,,,,,
965,,,,,,,
966,,,,,,,
967,,,,,,,
968,,,,,,,
969,,,,,,,
970,,,,,,,
971,,,,,,,
972,,,,,,,
973,,,,,,,
974,,,,,,,
975,,,,,,,
976,,,,,,,
977,,,,,,,
978,,,,,,,
979,,,,,,,
980,,,,,,,
981,,,,,,,
982,,,,,,,
983,,,,,,,
984,,,,,,,
985,,,,,,,
986,,,,,,,
987,,,,,,,
988,,,,,,,
989,,,,,,,
990,,,,,,,
991,,,,,,,
992,,,,,,,
993,,,,,,,
994,,,,,,,
995,,,,,,,
996,,,,,,,
997,,,,,,,
998,,,,,,,
999,,,,,,,
1000,,,,,,,
1001,,,,,,,
1002,,,,,,,
1003,,,,,,,
1004,,,,,,,
1005,,,,,,,
1006,,,,,,,
1007,,,,,,,
1008,,,,,,,
1009,,,,,,,
1010,,,,,,,
1011,,,,,,,
1012,,,,,,,
1013,,,,,,,
1014,,,,,,,
1015,,,,,,,
1016,,,,,,,
1017,,,,,,,
1018,,,,,,,
1019,,,,,,,
1020,,,,,,,
1021,,,,,,,
1022,,,,,,,
1023,,,,,,,
1024,,,,,,,
1025,,,,,,,
1026,,,,,,,
1027,,,,,,,
1028,,,,,,,
1029,,,,,,,
1030,,,,,,,
1031,,,,,,,
1032,,,,,,,
1033,,,,,,,
1034,,,,,,,
1035,,,,,,,
1036,,,,,,,
1037,,,,,,,
1038,,,,,,,
1039,,,,,,,
1040,,,,,,,
1041,,,,,,,
1042,,,,,,,
1043,,,,,,,
1044,,,,,,,
1045,,,,,,,
1046,,,,,,,
1047,,,,,,,
1048,,,,,,,
1049,,,,,,,
1050,,,,,,,
1051,,,,,,,
1052,,,,,,,
1053,,,,,,,
1054,,,,,,,
1055,,,,,,,
1056,,,,,,,
1057,,,,,,,
1058,,,,,,,
1059,,,,,,,
1060,,,,,,,
1061,,,,,,,
1062,,,,,,,
1063,,,,,,,
1064,,,,,,,
1065,,,,,,,
1066,,,,,,,
1067,,,,,,,
