wavelength,RSR_Rrs_400,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_673.75,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.25,RSR_Rrs_764.375,RSR_Rrs_767.5,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900,RSR_Rrs_940,RSR_Rrs_1020
559,,,,,,0.99117,,,,,,,,,,,,,,,
560,,,,,,0.994139,,,,,,,,,,,,,,,
561,,,,,,0.996688,,,,,,,,,,,,,,,
562,,,,,,0.998242,,,,,,,,,,,,,,,
563,,,,,,0.998767,,,,,,,,,,,,,,,
564,,,,,,0.974406,,,,,,,,,,,,,,,
565,,,,,,0.699926,,,,,,,,,,,,,,,
566,,,,,,0.174279,,,,,,,,,,,,,,,
567,,,,,,0.00991528,,,,,,,,,,,,,,,
568,,,,,,0.000137145,,,,,,,,,,,,,,,
569,,,,,,0.000000519,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,0.000000005,,,,,,,,,,,,,,
612,,,,,,,0.000003302,,,,,,,,,,,,,,
613,,,,,,,0.000633528,,,,,,,,,,,,,,
614,,,,,,,0.0303841,,,,,,,,,,,,,,
615,,,,,,,0.328445,,,,,,,,,,,,,,
616,,,,,,,0.836122,,,,,,,,,,,,,,
617,,,,,,,0.97221,,,,,,,,,,,,,,
618,,,,,,,0.980351,,,,,,,,,,,,,,
619,,,,,,,0.982657,,,,,,,,,,,,,,
620,,,,,,,0.986453,,,,,,,,,,,,,,
621,,,,,,,0.991554,,,,,,,,,,,,,,
622,,,,,,,0.996272,,,,,,,,,,,,,,
623,,,,,,,0.998603,,,,,,,,,,,,,,
624,,,,,,,0.966028,,,,,,,,,,,,,,
625,,,,,,,0.637481,,,,,,,,,,,,,,
626,,,,,,,0.12734,,,,,,,,,,,,,,
627,,,,,,,0.005495,,,,,,,,,,,,,,
628,,,,,,,0.00005436,,,,,,,,,,,,,,
629,,,,,,,0.000000154,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,
632,,,,,,,,,,,,,,,,,,,,,
633,,,,,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,
641,,,,,,,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,
655,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,0.00000001,,,,,,,,,,,,,
657,,,,,,,,0.000006742,,,,,,,,,,,,,
658,,,,,,,,0.00113977,,,,,,,,,,,,,
659,,,,,,,,0.048099,,,,,,,,,,,,,
660,,,,,,,,0.423732,,,,,,,,,,,,,
661,,,,,,,,0.889044,,,,,,,,,,,,,
662,,,,,,,,0.979087,,,,,,,,,,,,,
663,,,,,,,,0.984864,,,,,,,,,,,,,
664,,,,,,,,0.986648,,,,,,,,,,,,,
665,,,,,,,,0.989803,,,,,,,,,,,,,
666,,,,,,,,0.993423,0.00000001,,,,,,,,,,,,
667,,,,,,,,0.997723,0.000006472,,,,,,,,,,,,
668,,,,,,,,0.999095,0.00113391,,,,,,,,,,,,
669,,,,,,,,0.952011,0.0484714,,,,,,,,,,,,
670,,,,,,,,0.564721,0.430582,,,,,,,,,,,,
671,,,,,,,,0.0882241,0.901052,,,,,,,,,,,,
672,,,,,,,,0.00285576,0.989806,,,,,,,,,,,,
673,,,,,,,,0.000021392,0.994923,,,,,,,,,,,,
674,,,,,,,,0.000000043,0.995412,0.00000026,,,,,,,,,,,
675,,,,,,,,,0.995627,0.000092044,,,,,,,,,,,
676,,,,,,,,,0.990012,0.0084651,,,,,,,,,,,
677,,,,,,,,,0.828349,0.171527,,,,,,,,,,,
678,,,,,,,,,0.276934,0.718582,,,,,,,,,,,
679,,,,,,,,,0.019735,0.972754,,,,,,,,,,,
680,,,,,,,,,0.000299213,0.993044,,,,,,,,,,,
681,,,,,,,,,0.000001143,0.996677,,,,,,,,,,,
682,,,,,,,,,,0.999512,,,,,,,,,,,
683,,,,,,,,,,0.998877,,,,,,,,,,,
684,,,,,,,,,,0.956244,,,,,,,,,,,
685,,,,,,,,,,0.587915,,,,,,,,,,,
686,,,,,,,,,,0.0964161,,,,,,,,,,,
687,,,,,,,,,,0.0032032,,,,,,,,,,,
688,,,,,,,,,,0.000024653,,,,,,,,,,,
689,,,,,,,,,,0.000000051,,,,,,,,,,,
690,,,,,,,,,,,,,,,,,,,,,
691,,,,,,,,,,,,,,,,,,,,,
692,,,,,,,,,,,,,,,,,,,,,
693,,,,,,,,,,,,,,,,,,,,,
694,,,,,,,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,,,,,,,
696,,,,,,,,,,,,,,,,,,,,,
697,,,,,,,,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,,,,,,,,
699,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,0.000000023,,,,,,,,,,
701,,,,,,,,,,,0.000012282,,,,,,,,,,
702,,,,,,,,,,,0.00197869,,,,,,,,,,
703,,,,,,,,,,,0.071402,,,,,,,,,,
704,,,,,,,,,,,0.517897,,,,,,,,,,
705,,,,,,,,,,,0.93004,,,,,,,,,,
706,,,,,,,,,,,0.988777,,,,,,,,,,
707,,,,,,,,,,,0.992004,,,,,,,,,,
708,,,,,,,,,,,0.991264,,,,,,,,,,
709,,,,,,,,,,,0.991061,,,,,,,,,,
710,,,,,,,,,,,0.995154,,,,,,,,,,
711,,,,,,,,,,,0.999359,,,,,,,,,,
