wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_555,RSR_Rrs_620,RSR_Rrs_660,RSR_Rrs_680,RSR_Rrs_709,RSR_Rrs_745,RSR_Rrs_865
673,,,,,,,,0.053978928,0.032042814,,,
674,,,,,,,,0.026673407,0.156955827,,,
675,,,,,,,,0.012407615,0.440257845,,,
676,,,,,,,,0.008076535,0.77986708,,,
677,,,,,,,,0.003702184,0.951324205,,,
678,,,,,,,,0.004572875,0.955805916,,,
679,,,,,,,,0.001301653,0.954037158,,,
680,,,,,,,,,0.983742754,,,
681,,,,,,,,,0.998921667,,,
682,,,,,,,,,1,,,
683,,,,,,,,,0.976703978,,,
684,,,,,,,,,0.82565061,,,
685,,,,,,,,,0.515758545,,,
686,,,,,,,,,0.153019188,,,
687,,,,,,,,,0.032343994,,,
688,,,,,,,,,0.003074615,,,
689,,,,,,,,,0.000409454,,,
690,,,,,,,,,,,,
691,,,,,,,,,,,,
692,,,,,,,,,,,,
693,,,,,,,,,,,,
694,,,,,,,,,,,,
695,,,,,,,,,,,,
696,,,,,,,,,,,,
697,,,,,,,,,,,,
698,,,,,,,,,,,,
699,,,,,,,,,,0.00008,,
700,,,,,,,,,,0.00022,,
701,,,,,,,,,,0.010756982,,
702,,,,,,,,,,0.042315453,,
703,,,,,,,,,,0.166079651,,
704,,,,,,,,,,0.458056419,,
705,,,,,,,,,,0.786706319,,
706,,,,,,,,,,0.970642342,,
707,,,,,,,,,,0.990803292,,
708,,,,,,,,,,0.994643277,,
709,,,,,,,,,,1,,
710,,,,,,,,,,0.997996,,
711,,,,,,,,,,0.984483891,,
712,,,,,,,,,,0.954016644,,
713,,,,,,,,,,0.831420894,,
714,,,,,,,,,,0.552834731,,
715,,,,,,,,,,0.195884563,,
716,,,,,,,,,,0.04505445,,
717,,,,,,,,,,0.009914852,,
718,,,,,,,,,,0.0012943,,
719,,,,,,,,,,0.000120955,,
720,,,,,,,,,,,,
721,,,,,,,,,,,,
722,,,,,,,,,,,,
723,,,,,,,,,,,,
724,,,,,,,,,,,,
725,,,,,,,,,,,,
726,,,,,,,,,,,,
727,,,,,,,,,,,,
728,,,,,,,,,,,,
729,,,,,,,,,,,0.000245175,
730,,,,,,,,,,,0.001358483,
731,,,,,,,,,,,0.003704693,
732,,,,,,,,,,,0.007181732,
733,,,,,,,,,,,0.029891475,
734,,,,,,,,,,,0.102768568,
735,,,,,,,,,,,0.259780822,
736,,,,,,,,,,,0.523884351,
737,,,,,,,,,,,0.783454775,
738,,,,,,,,,,,0.888527042,
739,,,,,,,,,,,0.919217159,
740,,,,,,,,,,,0.933219462,
741,,,,,,,,,,,0.946038947,
742,,,,,,,,,,,0.965085959,
743,,,,,,,,,,,0.985845787,
744,,,,,,,,,,,0.999095085,
745,,,,,,,,,,,0.999547986,
746,,,,,,,,,,,0.990739961,
747,,,,,,,,,,,0.988073995,
748,,,,,,,,,,,0.988415226,
749,,,,,,,,,,,0.997566415,
750,,,,,,,,,,,1,
751,,,,,,,,,,,0.991808324,
752,,,,,,,,,,,0.960788356,
753,,,,,,,,,,,0.904751543,
754,,,,,,,,,,,0.783108072,
755,,,,,,,,,,,0.546242419,
756,,,,,,,,,,,0.260951645,
757,,,,,,,,,,,0.064279309,
758,,,,,,,,,,,0.019875505,
759,,,,,,,,,,,0.003692989,
760,,,,,,,,,,,0.00082688,
761,,,,,,,,,,,0.000419056,
762,,,,,,,,,,,0.000139821,
763,,,,,,,,,,,0.000129814,
764,,,,,,,,,,,0.000129793,
765,,,,,,,,,,,,
766,,,,,,,,,,,,
767,,,,,,,,,,,,
768,,,,,,,,,,,,
769,,,,,,,,,,,,
770,,,,,,,,,,,,
771,,,,,,,,,,,,
772,,,,,,,,,,,,
773,,,,,,,,,,,,
774,,,,,,,,,,,,
775,,,,,,,,,,,,
776,,,,,,,,,,,,
777,,,,,,,,,,,,
778,,,,,,,,,,,,
779,,,,,,,,,,,,
780,,,,,,,,,,,,
781,,,,,,,,,,,,
782,,,,,,,,,,,,
783,,,,,,,,,,,,
784,,,,,,,,,,,,
785,,,,,,,,,,,,
786,,,,,,,,,,,,
787,,,,,,,,,,,,
788,,,,,,,,,,,,
789,,,,,,,,,,,,
790,,,,,,,,,,,,
791,,,,,,,,,,,,
792,,,,,,,,,,,,
793,,,,,,,,,,,,
794,,,,,,,,,,,,
795,,,,,,,,,,,,
796,,,,,,,,,,,,
797,,,,,,,,,,,,
798,,,,,,,,,,,,
799,,,,,,,,,,,,
800,,,,,,,,,,,,
801,,,,,,,,,,,,
802,,,,,,,,,,,,
803,,,,,,,,,,,,
804,,,,,,,,,,,,
805,,,,,,,,,,,,
806,,,,,,,,,,,,
807,,,,,,,,,,,,
808,,,,,,,,,,,,
809,,,,,,,,,,,,
810,,,,,,,,,,,,
811,,,,,,,,,,,,
812,,,,,,,,,,,,
813,,,,,,,,,,,,
814,,,,,,,,,,,,
815,,,,,,,,,,,,
816,,,,,,,,,,,,
817,,,,,,,,,,,,
818,,,,,,,,,,,,
819,,,,,,,,,,,,
820,,,,,,,,,,,,
821,,,,,,,,,,,,
822,,,,,,,,,,,,
823,,,,,,,,,,,,
824,,,,,,,,,,,,
825,,,,,,,,,,,,
826,,,,,,,,,,,,
827,,,,,,,,,,,,
