wavelength,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.875,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900
671,,,,,,,0.0494328,,,,,,,,
672,,,,,,,0.000681772,,,,,,,,
673,,,,,,,,,,,,,,,
674,,,,,,,,,,,,,,,
675,,,,,,,,1.03E-05,,,,,,,
676,,,,,,,,0.00727137,,,,,,,
677,,,,,,,,0.198393,,,,,,,
678,,,,,,,,0.802956,,,,,,,
679,,,,,,,,0.987678,,,,,,,
680,,,,,,,,0.991633,,,,,,,
681,,,,,,,,0.994345,,,,,,,
682,,,,,,,,0.998853,,,,,,,
683,,,,,,,,0.997986,,,,,,,
684,,,,,,,,0.946308,,,,,,,
685,,,,,,,,0.49808,,,,,,,
686,,,,,,,,0.0486553,,,,,,,
687,,,,,,,,0.000653937,,,,,,,
688,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,
690,,,,,,,,,,,,,,,
691,,,,,,,,,,,,,,,
692,,,,,,,,,,,,,,,
693,,,,,,,,,,,,,,,
694,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,
696,,,,,,,,,,,,,,,
697,,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,,
699,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,
701,,,,,,,,,0.00220222,,,,,,
702,,,,,,,,,0.103022,,,,,,
703,,,,,,,,,0.665806,,,,,,
704,,,,,,,,,0.972337,,,,,,
705,,,,,,,,,0.99402,,,,,,
706,,,,,,,,,0.999045,,,,,,
707,,,,,,,,,0.998843,,,,,,
708,,,,,,,,,0.993514,,,,,,
709,,,,,,,,,0.99016,,,,,,
710,,,,,,,,,0.993158,,,,,,
711,,,,,,,,,0.996019,,,,,,
712,,,,,,,,,0.898321,,,,,,
713,,,,,,,,,0.333431,,,,,,
714,,,,,,,,,0.0193715,,,,,,
715,,,,,,,,,6.88E-05,,,,,,
716,,,,,,,,,,,,,,,
717,,,,,,,,,,,,,,,
718,,,,,,,,,,,,,,,
719,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,
721,,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,,
723,,,,,,,,,,,,,,,
724,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,
726,,,,,,,,,,,,,,,
727,,,,,,,,,,,,,,,
728,,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,
730,,,,,,,,,,,,,,,
731,,,,,,,,,,,,,,,
732,,,,,,,,,,,,,,,
733,,,,,,,,,,,,,,,
734,,,,,,,,,,,,,,,
735,,,,,,,,,,,,,,,
736,,,,,,,,,,,,,,,
737,,,,,,,,,,,,,,,
738,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,
740,,,,,,,,,,,,,,,
741,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,
744,,,,,,,,,,,,,,,
745,,,,,,,,,,,,,,,
746,,,,,,,,,,,,,,,
747,,,,,,,,,,0.000548781,,,,,
748,,,,,,,,,,0.0457841,,,,,
749,,,,,,,,,,0.497341,,,,,
750,,,,,,,,,,0.948761,,,,,
751,,,,,,,,,,0.998546,,,,,
752,,,,,,,,,,0.998944,,,,,
753,,,,,,,,,,0.993127,,,,,
754,,,,,,,,,,0.989433,,,,,
755,,,,,,,,,,0.986646,,,,,
756,,,,,,,,,,0.808737,,,,,
757,,,,,,,,,,0.194079,0.000529037,,,,
758,,,,,,,,,,0.0064582,0.0451435,,,,
759,,,,,,,,,,,0.497079,,,,
760,,,,,,,,,,,0.950633,,,,
761,,,,,,,,,,,0.998472,,,,
762,,,,,,,,,,,0.902668,,,,
763,,,,,,,,,,,0.329259,,,,
764,,,,,,,,,,,0.0179683,,,,
765,,,,,,,,,,,2.90E-05,,,,
766,,,,,,,,,,,,,,,
767,,,,,,,,,,,,,,,
768,,,,,,,,,,,,0.000112105,,,
769,,,,,,,,,,,,0.0179797,,,
770,,,,,,,,,,,,0.330149,,,
771,,,,,,,,,,,,0.902504,,,
772,,,,,,,,,,,,0.997403,,,
773,,,,,,,,,,,,0.993176,,,
774,,,,,,,,,,,,0.989286,,,
775,,,,,,,,,,,,0.992767,,,
776,,,,,,,,,,,,0.99857,,,
777,,,,,,,,,,,,0.998388,,,
778,,,,,,,,,,,,0.992229,,,
779,,,,,,,,,,,,0.988437,,,
780,,,,,,,,,,,,0.992084,,,
781,,,,,,,,,,,,0.997892,,,
782,,,,,,,,,,,,0.997554,,,
783,,,,,,,,,,,,0.991196,,,
784,,,,,,,,,,,,0.971076,,,
785,,,,,,,,,,,,0.672622,,,
786,,,,,,,,,,,,0.100469,,,
787,,,,,,,,,,,,0.00194208,,,
788,,,,,,,,,,,,,,,
789,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,
791,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,
794,,,,,,,,,,,,,,,
795,,,,,,,,,,,,,,,
796,,,,,,,,,,,,,,,
797,,,,,,,,,,,,,,,
798,,,,,,,,,,,,,,,
799,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,
801,,,,,,,,,,,,,,,
802,,,,,,,,,,,,,,,
803,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,
808,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,
810,,,,,,,,,,,,,,,
811,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,
814,,,,,,,,,,,,,,,
815,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,
819,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,
822,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,
824,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,
826,,,,,,,,,,,,,,,
827,,,,,,,,,,,,,,,
828,,,,,,,,,,,,,,,
829,,,,,,,,,,,,,,,
830,,,,,,,,,,,,,,,
831,,,,,,,,,,,,,,,
832,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,
839,,,,,,,,,,,,,,,
840,,,,,,,,,,,,,,,
841,,,,,,,,,,,,,,,
842,,,,,,,,,,,,,,,
843,,,,,,,,,,,,,,,
844,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,,
848,,,,,,,,,,,,,,,
849,,,,,,,,,,,,,,,
850,,,,,,,,,,,,,,,
851,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,0.000454664,,
853,,,,,,,,,,,,,0.0429165,,
854,,,,,,,,,,,,,0.497667,,
855,,,,,,,,,,,,,0.950803,,
856,,,,,,,,,,,,,0.998411,,
857,,,,,,,,,,,,,0.998842,,
858,,,,,,,,,,,,,0.992025,,
859,,,,,,,,,,,,,0.98772,,
860,,,,,,,,,,,,,0.991788,,
861,,,,,,,,,,,,,0.998456,,
862,,,,,,,,,,,,,0.998325,,
863,,,,,,,,,,,,,0.991432,,
864,,,,,,,,,,,,,0.987219,,
865,,,,,,,,,,,,,0.99142,,
866,,,,,,,,,,,,,0.998081,,
867,,,,,,,,,,,,,0.997815,,
868,,,,,,,,,,,,,0.990852,,
869,,,,,,,,,,,,,0.986731,,
870,,,,,,,,,,,,,0.991061,,
871,,,,,,,,,,,,,0.997711,,
872,,,,,,,,,,,,,0.996914,,
873,,,,,,,,,,,,,0.950301,,
874,,,,,,,,,,,,,0.501307,,
875,,,,,,,,,,,,,0.043429,,
876,,,,,,,,,,,,,0.000458793,,
877,,,,,,,,,,,,,,0.000430937,
878,,,,,,,,,,,,,,0.0419806,
879,,,,,,,,,,,,,,0.495866,
880,,,,,,,,,,,,,,0.950791,
881,,,,,,,,,,,,,,0.998409,
882,,,,,,,,,,,,,,0.998785,
883,,,,,,,,,,,,,,0.991747,
884,,,,,,,,,,,,,,0.987353,
885,,,,,,,,,,,,,,0.991591,
886,,,,,,,,,,,,,,0.998466,
887,,,,,,,,,,,,,,0.997901,
888,,,,,,,,,,,,,,0.950517,
889,,,,,,,,,,,,,,0.496588,
890,,,,,,,,,,,,,,0.0420241,
891,,,,,,,,,,,,,,0.000430253,
892,,,,,,,,,,,,,,,0.000421955
893,,,,,,,,,,,,,,,0.0416209
894,,,,,,,,,,,,,,,0.495386
895,,,,,,,,,,,,,,,0.950891
896,,,,,,,,,,,,,,,0.998412
897,,,,,,,,,,,,,,,0.998769
898,,,,,,,,,,,,,,,0.991615
899,,,,,,,,,,,,,,,0.987157
900,,,,,,,,,,,,,,,0.991467
901,,,,,,,,,,,,,,,0.998451
902,,,,,,,,,,,,,,,0.997893
903,,,,,,,,,,,,,,,0.950608
904,,,,,,,,,,,,,,,0.496193
905,,,,,,,,,,,,,,,0.0416666
906,,,,,,,,,,,,,,,0.000288243
907,,,,,,,,,,,,,,,
